event_id,label,attack_campaign_id,generated_at,scenario_metadata
cba80ace-1a4f-4953-ab58-0cbc5b8fe196,normal,,2026-01-05T00:02:26.803646Z,"{""behavior_phase"":""stable""}"
dad05b57-0b6c-4b70-ad86-684f86a38ab0,normal,,2026-01-05T00:02:54.100940Z,"{""behavior_phase"":""stable""}"
d851f0b9-b11b-477e-b074-ff31f516322a,normal,,2026-01-05T00:12:00.699725Z,"{""behavior_phase"":""stable""}"
6042f088-3e53-4deb-a422-5673ac199f94,normal,,2026-01-05T00:12:08.620891Z,"{""behavior_phase"":""stable""}"
3c87fd1b-7800-4b30-81e6-b76aed8b8c43,normal,,2026-01-05T00:27:46.618008Z,"{""behavior_phase"":""stable""}"
f1bc06c3-ad9e-4a5e-8b95-a344cad82243,normal,,2026-01-05T00:33:13.006495Z,"{""behavior_phase"":""stable""}"
14afa578-519a-41ef-a1e9-f8330ce9744e,normal,,2026-01-05T00:35:30.153723Z,"{""behavior_phase"":""stable""}"
f1959134-c59e-4337-9665-8bd7f156ae9a,normal,,2026-01-05T00:40:46.943427Z,"{""behavior_phase"":""stable""}"
541dbd68-3ead-475c-9349-b9b730fa0322,normal,,2026-01-05T00:43:08.375894Z,"{""behavior_phase"":""stable""}"
46bcd019-4a5f-4fdf-b4ca-af5ac4d1668f,normal,,2026-01-05T00:46:30.701604Z,"{""behavior_phase"":""stable""}"
c5faa609-1346-4c9c-949f-84503efe3fe2,normal,,2026-01-05T00:49:17.327450Z,"{""behavior_phase"":""stable""}"
769835ab-ed71-43a4-9e7c-c61048e35e57,normal,,2026-01-05T00:51:54.718073Z,"{""behavior_phase"":""stable""}"
d8c98c79-99e8-4045-8fad-a0cd5d76f859,normal,,2026-01-05T01:03:32.947735Z,"{""behavior_phase"":""stable""}"
726709db-6b76-486d-80fd-dba13fa86694,normal,,2026-01-05T01:09:06.314861Z,"{""behavior_phase"":""stable""}"
fa82592a-c81d-4bfd-a850-93a4f2832bcf,normal,,2026-01-05T01:29:05.750314Z,"{""behavior_phase"":""stable""}"
